product_name,overview,image_path,description,product_category
Spinach (200g),"Spinach is a very versatile vegetable and can be eaten raw or cooked. Spinach is known as Palak in India. The vibrant-looking palak leaves are not only more appealing to the eye but more nourishing as well. It is a good source of Vitamin A, C, Protein, Potassium and Calcium. It can be used to make curries like palak paneer, soups or can be used in salads. ",https://images.heb.com/is/image/HEBGrocery/000319108,"Leafy Vegetable - Spinach, Spinacia oleracea / Chenopodiaceae.",8
Curry leaf (100g),"The curry leaf is a very common Indian herb. It is dark green in color and add taste to dishes. It is an essential part of most Indian main course dishes. The leaves have a slightly pungent, bitter and feebly acidic taste, and they retain their flavour and other qualities even after drying. Many Southeast Asian cuisines also show a fondness for this herb. It is filled with nutritional benefits. Usually cook with curry dishes such as curry chicken, curry fish, or curry vegetables.",https://aptsomart.com/wp-content/uploads/2020/01/fresh-curry-leaves_aptsomart.jpg,"Leafy vegetable  - Curry leaves are small in size and long, slender, and oval in shape narrowing to a point, averaging 2-4 centimeters in length and 1-2 centimeters in width.",8
Eggs (10 eggs),"Eggs are a very good source of inexpensive, high quality protein. Aids in weight loss. Helps in improve heart health. Beneficial in improving cognitive health. Aids in growth and development of body maintains healthy hormonal functioning of thyroid. Eggs are incredibly nutritious. Eggs contain lutein and zeaxanthin, antioxidants that have major benefits for eye health. Eggs are among the most versatile foods. Consuming boiled eggs every day gives a good long-term impact on brain health.",https://keser.no/wp-content/uploads/2020/03/EGG-10-STK-BRETT-hvit-large.jpg,Chicken Eggs,6
Sandwich Bread,"Think sliced soft center white bread made from refined wheat flour. The thick and broad slices ensure the ingredients are well contained for a sumptuous sandwich. Sandwich bread may be formulated to slice easily, cleanly or uniformly, and may have a fine crumb (the soft, inner part of bread) and a light texture. Sandwich bread may be designed to have a balanced proportion of crumb and crust, whereby the bread holds and supports fillings in place and reduces drips and messiness.",https://www.bigbasket.com/media/uploads/p/l/40087525-2_4-fresho-sandwich-bread-safe-preservative-free.jpg,Bakery - Sandwich Bread,2
Garlic (200g),"Garlic is most often used as a flavoring agent but can also be eaten as a vegetable. It is used to flavor many foods, such as salad dressings, vinaigrettes, marinades, sauces, vegetables, meats, soups, and stews. It is often used to make garlic butter and garlic toast.",https://food.fnr.sndimg.com/content/dam/images/food/fullset/2021/05/25/head-of-garlic-and-garlic-cloves.jpg.rend.hgtvcom.406.305.suffix/1621974634336.jpeg,Botanically vegetable,8
Ginger (200g) ,"Ginger is the root (or rhizome) of Zingiber officinale, a tropical plant native to southeast Asia. Ginger pairs with nearly any type of fruit, especially in jams, pies, and fruit salads. Apples, oranges, figs, melon, pineapple, grapes, blueberries, bananas, apricots, and peaches work very well with this spice. Don't forget about pumpkin or sweet potato pies either. Ginger’s warmth and peppery bite are enjoyed within almost all of the world’s major cuisines, especially in beverages. Ginger beer, herbal teas, masala chai, mango lassis, and turmeric milk frequently rely on this spice.",https://cdn.britannica.com/72/140372-050-094484AF/ginger-root.jpg,Vegetable,8
Lemongrass (200g),"Lemongrass is often finely chopped or pounded in order to break down the tough stalks. Once minced or pounded, lemongrass can be added to marinades or grilled meats for a touch of sweet citrusy flavor or used to brighten curry pastes and simple sauces",https://www.dropee.com/product_uploads/photos/4bd04351e82cd08dc4101e47eafce1514410258f.jpeg,Herb - with lemony scent,8
Curry powder (100g),"Curry powder is a flavorful spice made of turmeric, ginger, coriander, and several others. To use curry powder in your cooking, pick out dishes that cook slowly and add other spices in with the curry powder to get the best flavor. You can even make your own curry powder to customize it to your taste buds. Curry powder is often used to make soups, sauces, and seasonings, giving you endless options for your next curry meal such as curry chicken, curry fish, curry vegetables and so on.",https://thumbs.dreamstime.com/b/curry-powder-white-background-spices-162652244.jpg,"Spice, powder",4
Diced chicken (250g),"Diced chicken csan be any part from a chicken. If a recipe calls for diced chicken, it usually means that you want small cubes, somewhere around ½-inches on all sides. So for ½-inch cubes (or dice) you want to start with ½-inch slices, and then cut the slices lengthwise into ½-inch strips before cutting them into ½-inch diced cubes. It good to cook with any recepies such as curry chicken using ingredients such as curry powder, curry leaves and so on.",https://media.istockphoto.com/photos/pile-of-dices-skinned-deboned-raw-chicken-breast-isolated-picture-id616907616?k=20&m=616907616&s=612x612&w=0&h=f-kapI4JIL_Go_cic1u-eBBhFfM2Ltx4MBFInipc-Ig=,Meat - Chicken,10
Salmon (450g),"Salmon provides a tender, flaky-textured meat with a mild to rich flavor, depending on the species. It is a fish that is rich in omega-3 fatty acids, which help to reduce LDL (bad) cholesterol. Salmon can be prepared in most any manner, such as smoked, baked, broiled, grilled, fried, or poached. Salmon is suitable to cook with lemon, parsley leaf, salt, garlic, butter and so on.",https://thumbs.dreamstime.com/b/red-fish-raw-salmon-fillet-isolate-white-background-red-fish-raw-salmon-fillet-isolate-white-background-137954231.jpg,Seafood - fish,10
Siakap (450g),"Ikan Siakap/Barramundi is an Asian sea bass that is prized for its rich, buttery, silky, and sweet flavour, and it has medium-firm flesh. Barramundi is a very healthy choice of fish as it contains a lot of nutrients like omega-3 fatty acids, zinc, vitamin A, and more.",https://cdn.store-assets.com/s/335919/i/17734191.jpg,Seafood - fish,10
Dory (450g),"Dory fish are flat saltwater fish which are very commonly eaten. They are prized for its flaky and sweet flesh. Dory fish is rich with nutrients like omega-3 fatty acids, iodine, iron, magnesium, selenium, and more.",https://www.kanika.com.my/image/cache/catalog/product/frozen-seafood/SFFI10016-DORY-FILLET-550x550.jpg,Seafood - fish,10
100 Plus Can - Original (325ml),"100 plus is a brand of isotonic sports drink manufactured by Fraser and Neave Limited, a global food and beverage conglomerate headquartered in Singapore. It was created and launched in 1983 in both Malaysia and Singapore with the name commemorates 100 years of Fraser and Neave in Asia.",https://www.dropee.com/product_uploads/photos/0d2668533bc097897b93e4b85b12db6cc68714a1.jpg,Isotonic beverage,1
NESCAFE Original 240ml,"NESCAFÉ® Original is carefully concocted to give you that well-loved signature coffee taste. Its comforting aroma and distinctive full-flavour taste, conveniently turns our medium-dark roast signature blend into a sweet coffee when you savour it.Every can of NESCAFÉ® Original has the finest blend of Arabica and Robusta beans, perfectly roasted and blended with milk. Taste the right balance of coffee and creaminess in every sip, whenever, wherever.",https://www.nescafe.com/mena/sites/default/files/2020-05/Original%20%28Front%29.jpg,"• The perfect balance of coffee, creamer and sugar
• Comforting and intense aroma
•  The right blend of coffee sweetness, topped with a smooth crema
• Pack size: 240ml
• HALAL certified",1
Ribena Blackcurrant Fruit Drink (450ML),"Ribena (/raɪˈbiːnə/ rye-BEE-nə) is a British-origin brand of blackcurrant-based uncarbonated and carbonated soft drink and fruit drink concentrate. Without artificial colours, sweeteners or flavourings, Ribena provides 100 percent of our daily vitamin C requirements. No wonder Ribena is often the choice for many when looking for a drink to quench their thirst.",https://my-test-11.slatic.net/p/881be138cb78d2e7f74a13fc456de770.jpg,Blackcurrant drink,1
Tropicana Twister Orange (355ml),"Tropicana Twister is made from real juice, fortified in Vitamins and it is refreshing. Contains orange juice. Delicious and refreshing. Packed with vitamins. No added sugar",https://24xpress.com.my/wp-content/uploads/2019/12/tropicana-twister-orange.jpg,Real juice made from orange,1
Strawberry Fruit Spread (400g) ,"Strawberry fruit spread which could usually spread on bread and bakery. Classic strawberry flavor with a velvety finish and rich texture. Pairs well with shortbread, cream cheese and champagne. All Natural Ingredients: Strawberries, fruit juice concentrates (grape and date), fruit pectin, lemon juice. ",https://cdn.shopify.com/s/files/1/0006/1000/9140/products/St._Dalfour_Jam_Raspberry___Pomegranate_900x.jpg?v=1633512605,Fruit spread,2
Mission Quinoa Wraps (360g) ,"Mission Quinoa Wraps are a source of Fibre & Protein and contain the “mother of all grains”– quinoa, which contains Iron, Lysine, Vitamin B2 and Manganese. A wrap is a food dish made with a soft flatbread rolled around a filling. The usual flatbreads are wheat tortillas, lavash, or pita; the filling may include cold sliced meat, poultry, or fish, shredded lettuce, diced tomato or pico de gallo, guacamole, sauteed mushrooms, bacon, grilled onions, cheese, and a sauce, such as ranch or honey mustard.",https://cdn.frozenfood.com.my/wp20200327/wp-content/uploads/2021/08/02135445/MISSION-QUINOA-WRAPS-8-360G.jpg,"Bakery - Tortillas and flat bread

Ingredients:
Unbleached Wheat Flour, Water, Vegetable Shortening (Palm Oil, E306), Quinoa, Salt, Sugar, Contains Permitted Leavening Agent (E500, E450), Compound Emulsifier and Enzyme Additive (E471, Alpha-Amylase, Xylanase, Glucoamylase, Corn Starch, Wheat Flour), Acidity Regulator(E297), and Preservative(E282).",2
Potato Bun (350g) ,"Bakery, bread and bun. Unlike other types of rolls, the potato bun is made with a range of different types of potatoes, including potato flour. Similar to the milk bun, the roll has a moist texture, allowing it to absorb the fluids and sauces.",https://cf.shopee.com.my/file/12e389c293c093e9b01bac40965a6c39,Bakery - Potato bun /  bread,2
Pandan Chiffon Cake (300g) ,Bakery cake. It is made from pandan as the flavouring. Pandan chiffon cake is very well loved in Southeast Asia. Also known as screwpine leaf. You can extract pandan juice to be used in cooking and baking. It is so flavorful that I seriously want to bottle up the flavor and turn it into a fragrance. Pandan chiffon cake is basically just chiffon cake infused with pandan flavor and it’s green color.,https://nana-asia.com/wp-content/uploads/2020/06/Pandan-Chiffon-Cake-1024x576.jpg,Bakery - Chiffon cake,2
Yeo's Baked Beans in Tomato Sauce (425g),"Canned food with baked beans. Baked beans is a dish traditionally containing white beans that are parboiled and then, in the US, baked in sauce at low temperature for a lengthy period. In the United Kingdom, the dish is sometimes baked, but usually stewed in sauce. Canned baked beans are not baked, but are cooked through a steam process.",https://cf.shopee.com.my/file/d8cf4f15712dd5ecbd845bf3b1c3cb61,Canned food - Yeo's Baked Beans in Tomato Sauce 425g. Low fat food. No preservatives and no added MSG.,3
Ayam Brand Sardines in Tomato Sauce (425g),"Canned food. Sardines. 

* Ayam Brand™ Sardines are from cold seas. Living in the extreme cold condition makes them fattier, juicier and richer in Omega 3. The sardine oil may appear on the surface of the sauce in the form of white particles, depending of the storage temperature. It dissolves once heated. It is natural and it is a sign of high quality sardine fish.

** The rich tomato sauce provides lycopene, the strongest antioxidant that helps cell against ageing and help to control blood pressure.

*** 100g of sardines provides you with more than 2000mg of Omega-3, your weekly needs. It's more Omega-3 than most supplement pills*. Calcium and essential nutrients. Sardines contain two times more callcium than milk and also provide your body with iron, magnesium, zinc, phosphorus, copper, manganese, lycopene and vitamin B.",https://www.dropee.com/product_uploads/photos/d6049c5638a2a93e967123457efa929298cfd371.jpg,Canned food - Ayam Brand Sardines in Tomato Sauce (425g).,3
Ayam Brand Tuna Mayonnaise (160g),"Canned food. Tuna with mayonnaise. Tuna packed in oil, either vegetable oil or olive oil, is usually cooked, fish and oil together, in the can. Many tuna producers same albacore in either water or olive oil, but the water-packed now accounts for 60 percent of sales).",https://gomart.com.my/wp-content/uploads/2021/07/100372-Ayam20Brand20Tuna20Mayonnaise2028Natural2920160g.jpg,Canned food - Ayam Brand Tuna Mayonnaise (160g),3
Ayam Brand Processed Peas (230g）,"Canned food. Ayam Brand Processed Peas is rich in fibre, cholesterol free and low in fat. They are great companion with all kinds of cooking; main dishes or desserts. Ayam Brand Processed Peas is also accredited with the Healthier Choice Logo by Singapore Health Promotion Board (HPB) for its low sodium and nutritious benefits. Ayam Brand vegetables are certified HALAL Benefits: Nutritionists recommend eating 5 servings of fruits & vegetables daily. Canned vegetables provide you with necessary fiber, mineral and vitamins for an healthy diet.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBGHni-Qr8QHF81gslST1QQPJXFGJu0FYV_Q&usqp=CAU,Canned food - Ayam Brand Processed Peas (230g）,3
MSM Coarse Grain Sugar (1kg),"Sugar, any of numerous sweet, colourless, water-soluble compounds present in the sap of seed plants and the milk of mammals and making up the simplest group of carbohydrates. The most common sugar is sucrose, a crystalline tabletop and industrial sweetener used in foods and beverages.",https://my-test-11.slatic.net/p/1fe66c8e837c41701f85df3cec52568e.jpg,"Commodities, condiment- Sugar",4
Fine salt (450g),"Salt is perhaps most well known as a food preservative, condiment and flavoring agent. It has been used to preserve food for many thousands of years and is the most common seasoning. But salt also plays other, lesser-known roles in the food we eat as an essential nutrient, providing flavor and texture, and enhancing color. First and foremost, salt is used as a seasoning to enhance the taste of food. It makes bland foods such as carbohydrates (bread, pasta, etc) palatable and it helps to bring out the natural flavours in other foods. Within cheese, salt helps to assure the dominance of the desired flora, controls the rate of lactic acid fermentation, aiding the development of flavouring, body and texture. In cheeses like stilton, for example, this is largely responsible for the taste and texture. In baked products, salt controls fermentation by retarding the growth of bacteria, yeast and moulds, preventing wild fermentation. This is important in making a uniform product and reducing the opportunity for harmful bacteria.",https://cdn.store-assets.com/s/513398/i/24022171.png?width=1024,"Commodities, condiment- Salt",4
Natural Blend Cooking Oil (1kg) ,"Made from pure and natural ingredients, Naturel Blend cooking oil is an original blend of Canola and Sunflower oils. It contains Omega 3 & 6 that are essential to the well-being of our body. It also has monounsaturates, naturally rich in Vitamin E and is cholesterol free. Cooking oil is plant, animal, or synthetic liquid fat used in frying, baking, and other types of cooking. It is also used in food preparation and flavoring not involving heat, such as salad dressings and bread dips, and may be called edible oil. Food with deep fried usually need a lot of cooking oil.",https://my-test-11.slatic.net/p/fb4135eb14954462962549b252b58acf.jpg,"Naturel Premium Blend Cooking Oil is your perfect choice for cooking dishes, as it’s made from canola and sunflower oil. Contains Omega 3 and 6 that are essential to our body, definitely a healthier choice for your whole family.
- Canola and sunflower oil
- Contains Omega 3 and Omega 6",4
Rice (10kg) ,"Commodities. If not drained, boiled rice is usually cooked on high heat until a rolling boil, then simmered with the lid on, and steamed over the residual heat after turning off the heat. Nowadays, electric rice cookers are also commonly used to cook rice. During cooking, rice absorbs water and increase in volume and mass.",https://media.istockphoto.com/photos/dry-white-long-rice-basmati-in-wooden-bowl-and-burlap-sack-with-on-picture-id1193536444?k=20&m=1193536444&s=612x612&w=0&h=QveYIc3ZekC0oPZcda9Ab65LaTeYL9af_6FI2aWcPN8=,Commodities - rice,4
MFM Tepung Gandum Cap Ros Flour (850g),"Flour is a powder made by grinding raw grains, roots, beans, nuts, or seeds. Flours are used to make many different foods. Cereal flour, particularly wheat flour, is the main ingredient of bread, which is a staple food for many cultures. To dust or spread a light coating of fine ground flour over a surface, a utensil, a pan, or a food in order to prevent items from sticking together or to create a browned surface on foods during a cooking process. Products. Bread, pasta, crackers, many cakes, and many other foods are made using flour. Wheat flour is also used to make a roux as a base for thickening gravy and sauces.",https://www.myweekendplan.asia/wp-content/uploads/2021/07/MFM-Cap-Rose-All-Purpose-Wheat-Flour-1-1024x683.jpg,"Commodities - flour, Tepung Gandum Cap Ros 850g",4
MAMEE Monster Noodle Snack Family Pack (8x25g),"Mamee Monster Noodle Snack are a tasty, ready to eat crunchy noodle snack. These Big Noodles for Little Monsters come in convenient individual packs and are perfect to enjoy at home, at school or on the go. So easy to eat – just shake it, crunch it, and munch it! Made from Australian wheat.",https://www.pantryexpress.my/1607-large_default/mamee-monster-noodle-snack-family-pack-8x25g-hot-spicy.jpg,"Snacks, spicy",5
Twisties Chipster Hot & Spicy Flavoured Potato Chips (60g),"A potato chip (often just chip, or crisp in British and Irish English) is a thin slice of potato that has been either deep fried, baked, or air fried until crunchy. They are commonly served as a snack, side dish, or appetizer. A snack food that is a potato sliced very thin and then deep-fat fried, which is also known as a ""saratoga chip."" They come in many different varieties that include different flavors, and textures. They are also available in low-fat and low-sodium content chips. Potato chips are generally eaten as a snack or an accompaniment to a sandwich.",https://fmcg.my/wp-content/uploads/2020/10/TWIST-CHIPSTER-HOT-SPICY-60G-1.jpg,"Snacks, potato chips, spicy.
100% imported potatoes, Halal – Malaysia
Potato Chips Hot & Spicy Flavour
Contains Wheat and Soya
Manufactured on equipment that also processes products containing Milk and Shrimp",5
Hup Seng Cream Crackers (428g),"Biscuit. Cream Cracker. Cream cracker is a flat, usually square, savoury biscuit. The name ""cream crackers"" refers to the method in which the mixture is creamed during manufacture. The cream cracker is traditionally prepared using fermented dough. Hup Seng Cap Ping Pong Cream Crackers are light, square-shaped with classic creamy taste that enlivened your cup of tea. Every piece is delicious, crunchy and full of goodness. It contains no preservatives or colourings, thus making sure you can consume it every day! No preservatives No artificial colouring. ",https://www.aplusgrocer.com.my/4055-large_default/jacob-s-value-pack-cream-cracker-360g.jpg,Biscuit - cream cracker,5
Munchy's LEXUS Sandwich Biscuit - Chocolate Cream (190g),"Biscuit. Cracker. LEXUS, the calcium vegetable cracker sandwich-packed with smooth and creamy indulgent fillings, is the perfect blend of sweet and savory. Packed in small and convenient packets, it allows you to snack any time, be it at work or at home.
Find delight in everyday routine. Delight in life’s smaller pleasures with LEXUS. Smooth & Creamy. These calcium vegetable crackers are packed with smooth and creamy indulgent fillings. Sweet & Savoury. A perfect blend of sweet and savoury that will leave all of your tastebuds satisfied.",https://assets.theedgemarkets.com/lexus_www.munchys.com_.jpg?Pdoceh_sEB5QMb7iiotise5aa82Vuxrg,Biscuit - chocolate cracker,5
Munchy's Oat Krunch Biscuit - Strawberry & Blackcurrant (390g),"Biscuit. Oat crunch. We believe in healthy biscuits that are tasty, and tasty biscuits that are healthy. Just like our Oat Krunch biscuits, made with healthy oats and tasty ingredients. Oat Krunch contains sources of fibre and are trans-fat free with no preservatives and conveniently packed for whenever and wherever life takes you. It’s the perfect crunch for everyone! Have it all with Oat Krunch!",https://www.zuppa.com.my/zuppamarket/wp-content/uploads/Munchys-Oat-Krunch-Strawberry-Blackcurrant-416g.jpg,Biscuit - Oat crunch biscuit,5
Mentos Roll Mint (37g),"Candy. Mentos is an exceptionally fresh chewy mint that comes in a great variety of exciting mint and fruit flavours. Its unique round shape combines taste, freshness and functionality.","https://cdn.happyfresh.com/t/s_wide,c_fill/spree/images/attachments/aea7561d68b0a49a21e5416601075844c044a2bc-original.jpg",Candy,5
Eclipse Mint Spearmint (35g),"Candy. An Eclipse mint is an oval prism rounded at top and bottom, with the top and bottom halves varying in colour, depending on the flavor. Spearmint (green), peppermint and Black Chill (blue), and Winterfrost (dark blue) are available, as well as cinnamon (all pink), orange (light orange) and blackcurrant (purple).",https://www.luluhypermarket.com/medias/396797-01.jpg-1200Wx1200H?context=bWFzdGVyfGltYWdlc3w0NjcyMjR8aW1hZ2UvanBlZ3xoZWIvaDk1Lzk5MTI1MTQzNzk4MDYvMzk2Nzk3LTAxLmpwZ18xMjAwV3gxMjAwSHw3OTVmMjhkNDI0MDNkMjBkNzY1MWRjNDM2MzI3Mjg1NWI0OTJkZGJhZDM0NzhmMGYyNmYyZGUxOTA4NjdhZGNi,Candy,5
Fresh Milk (2L),"Dairy. Milk. Milk is essentially an emulsion of fat and protein in water, along with dissolved sugar (carbohydrate), minerals, and vitamins. These constituents are present in the milk of all mammals, though their proportions differ from one species to another and within species. Discover the many ways you can incorporate milk into daily cooking, from chicken-fried steak and casseroles to soup and hot chocolate. There are much more dishes are made from milk such as cake, ice-cream, pancake, bread, milk shake and so on. Milk also always serve with cereals as breakfast commonly.",https://gomart.com.my/wp-content/uploads/2021/07/100002-Farm20Fresh20Fresh20Milk202L.jpg,Dairy - Milk,6
Chesdale Cheddar Cheese (6pcs),"Dairy, cheese. Chesdale is a premium quality processed cheddar cheese from New Zealand. Enjoy the rich, smooth and yummy cheddar taste with Chesdale, be it grated, in salads, appetizers, sandwiches or simply to enhance the flavour of your dishes. There are many dishes can be cook with cheese such as cheesecake, pasta, bread with cheese, noodles, rice, spagetthi and so on. Cheesedale Processed Cheese is made from a mix of different types of natural cheese of different maturity levels.It is then added with emulsifiers to give a consistent texture.With all the blends and mixture added in, the is then cooked to stop it form further maturing. Process cheese has longer shelf life of over 12 months. Flavour and taste will not change within its shelf life span. It has good melting characteristics. Commonly used in burgers and sandwiches. can be direct consume",https://www.picknpay.com.my/image/picknpay/image/data/all_product_images/product-1471/DjNl5Mxg1649215384.jpg,Dairy - Cheese,6
Yoghurt Drink (700g),"This beverage is a mixture of yogurt, milk, honey, and fruit blended into a delicious and refreshing chilled drink. It has the consistency of kefir but less tang and involves no fermentation, so if you’re into kefir or want to try it, this recipe is a great option to start. In a high-speed blender, combine the milk, yogurt, maple syrup or honey, and chopped fruit, if using. You can use fresh or frozen fruit. Feel free to mix, your favorite fruit together to make a blend! Get creative! If you have leftovers, freeze it in popsicles for later.",https://www.onlinepasar.com.my/wp-content/uploads/2020/02/Farm-Fresh-Mango-Yogurt-Drink-700ML-1.jpg,Dairy - Yoghurt Drink,6
Yoghurt (500g),"Dairy. Yogurt, also spelled yoghurt, yourt, or yoghourt, semifluid fermented milk food having a smooth texture and mildly sour flavour because of its lactic acid content. Yogurt may be made from the milk of cows, sheep, goats, or water buffalo. Plain yogurt is a healthy base for a light breakfast, lunch or even dinner. Make a breakfast parfait with plain yogurt, your favorite fresh fruits and whole-wheat breakfast cereal or granola. Use plain yogurt in place of milk on your favorite whole-grain breakfast cereal.",https://100comments.com/wp-content/uploads/2017/03/nestle-greek-yogurt.jpg,Dairy - Yoghurt,6
Cereals (300g),"Cereal, formally termed breakfast cereal (and further categorized as cold cereal or warm cereal), is a traditional breakfast food made from processed cereal grains. It is traditionally eaten as part of breakfast, or a snack food, primarily in Western societies. Although warm cereals like porridge and grits have the longest history, ready-to-eat cold cereals appeared around the late 19th century, and are most often mixed with milk (traditionally cow's milk), but can also be paired with yogurt instead or eaten plain. Fruit or nuts are sometimes added. Many cereals are produced via extrusion.",https://www.nestle-cereals.com/my/sites/g/files/fawtmp381/files/styles/scale_992/public/d7/cheerios-multi-grain_1_1.png?itok=d3CiC3qS,Breakfast - cereals,2
Spaghetti (500g),"Spaghetti (Italian: [spaˈɡetti]) is a long, thin, solid, cylindrical pasta. It is a staple food of traditional Italian cuisine. Like other pasta, spaghetti is made of milled wheat and water and sometimes enriched with vitamins and minerals. Italian spaghetti is typically made from durum wheat semolina. An emblem of Italian cuisine, spaghetti is frequently served with tomato sauce, which may contain various herbs (especially oregano and basil), olive oil, meat, or vegetables. Other spaghetti preparations include amatriciana or carbonara. Grated hard cheeses, such as Pecorino Romano, Parmesan and Grana Padano, are often sprinkled on top. Spaghetti dishses also always serve with salmon, lemon, cheese, and so on.",https://www.globalfoodproduct.com/wp-content/uploads/2020/05/0335San-Remo-Thin-Spaghetti-500g.jpg,Pasta - Spaghetti,9
